Item,Ordre,Objectif ,Actuel ,À acheter ,Acheté,Prix à Billa,Prix à Lidl,
Carottes,1,1,,1,FALSE,"1,99 lv","1,49 lv",
Pomme de terre ,1,5,,5,FALSE,,"2,99 lv",
Oignon ,1,1,,1,FALSE,"2,99 lv","1,29 lv",
Café ,2,1,,1,FALSE,"9,99 lv","6,49 lv",
Beurre de cacahuète ,2,2,,2,FALSE,,"6,39 lv",
Flocons d'avoine,2,3,,3,FALSE,"1,89 lv","1,89 lv",
Cornflakes,2,1,,1,FALSE,,"3,29 lv",
Chocapic,2,2,,2,FALSE,"1,99 lv","4,29 lv",
Honey hoops ,2,2,,2,FALSE,"1,99 lv","4,39 lv",
Muesli,2,1,,1,FALSE,"2,99 lv","4,49 lv",
Poulet ,3,1,,1,FALSE,"6,99 lv","6,99 lv",
Saucisses ou haché ,3,1,,1,FALSE,"4,39 lv","2,99 lv",(prix Billa pour porc haché 500g)
Kashkaval,4,2,,2,FALSE,"15,99 lv","15,99 lv", 
Haricots rouges,4,2,,2,FALSE,"1,95 lv","1,39 lv",
Concentré de tomates ,4,10,,10,FALSE,"1,99 lv","1,49 lv",
Margarine ,5,1,,1,FALSE,"3,99 lv","3,99 lv",
Lait écrémé,5,12,,12,FALSE,"2,49 lv","2,29 lv",
Lait entier,5,0,,0,FALSE,,"2,59 lv",
Citron concentré,6,2,,2,FALSE,,"0,99 lv",
Sauce soja,6,1,,1,FALSE,,,
Herbes de Provence,6,2,,2,FALSE,"1,49 lv","0,99 lv","(promo à Billa, 1,99lv normal)"
Pois chiches,6,2,,2,FALSE,,"1,35 lv",
Sel,6,1,,1,FALSE,,"0,65 lv",
Huile de tournesol,6,1,,1,FALSE,"3,29 lv","2,99 lv",
Couscous,6,2,,2,FALSE,,"2,99 lv",
Spaghetti,6,2,,2,FALSE,,"1,19 lv",
Fusili,6,2,,2,FALSE,"1,19 lv","1,19 lv",
Penne ,6,2,,2,FALSE,,"1,19 lv",
Sucre (1kg),7,1,,1,FALSE,,"1,99 lv",
Levure de boulanger,7,1,,1,FALSE,,"1,29 lv",
Farine t500 (1kg) ,7,2,,2,FALSE,,"2,65 lv",
Farine t650 (1kg),7,8,,8,FALSE,"1,19 lv","1,89 lv",
Farine t1850 (1kg),7,3,,3,FALSE,"2,59 lv","1,59 lv",
Papier toilette,9,1,,1,FALSE,"12,79 lv",,
Éponges,9,1,,1,FALSE,,,
Papier aluminium,9,1,,1,FALSE,,,
Film étirable,9,1,,1,FALSE,,,
Papier sulfurisé,9,1,,1,FALSE,,,
Liquide vaisselle,9,1,,1,FALSE,,,
Sac poubelle petits 35l ,9,1,,1,FALSE,,,
Sac poubelle grands 100l,9,1,,1,FALSE,,,
Savon,9,2,,2,FALSE,,,
Brosse à dent souple ,9,1,,1,FALSE,,,
Cacahuètes 100g,10,4,,4,FALSE,"1,99 lv","4,49 lv",
Cocktail mix,10,2,,2,FALSE,"3,49 lv","4,49 lv",
Bretzel,10,1,,1,FALSE,,"1,69 lv",
Chocolat noir,11,1,,1,FALSE,"3,09 lv","2,79 lv",(promo) 
Chocolat dessert,11,2,,2,FALSE,"1,99 lv","1,49 lv",(passage plaquette dessert suite augmentation prix)
Biscuits prince,12,1,,1,FALSE,"3,99 lv","3,99 lv",
Cumin,,2,,2,FALSE,,,
Ail,,2,,2,FALSE,,,